Month	KPI	Direction	Plant	UOM	Achieved	Target
Jul-25	Customer Complaints	LOWER_IS_BETTER	Plant-05	Num	1	0
Jul-25	Customer Complaints	LOWER_IS_BETTER	Plant-06	Num	0	0
Jul-25	MMR	LOWER_IS_BETTER	Plant-05	Num	1.59	1.33
Jul-25	MMR	LOWER_IS_BETTER	Plant-06	Num	1.23	1.19
Jul-25	Cost/Dzn (Rs.)	LOWER_IS_BETTER	Plant-05	Num	320	367
Jul-25	Cost/Dzn (Rs.)	LOWER_IS_BETTER	Plant-06	Num	295	411
Jul-25	Quality Index	LOWER_IS_BETTER	Plant-05	%	1.93%	2.00%
Jul-25	Quality Index	LOWER_IS_BETTER	Plant-06	%	1.98%	2.00%
Jul-25	OTD	HIGHER_IS_BETTER	Plant-05	%	92.08%	95.00%
Jul-25	OTD	HIGHER_IS_BETTER	Plant-06	%	100.00%	95.00%
Jul-25	YMR	HIGHER_IS_BETTER	Plant-05	%	92.77%	94.00%
Jul-25	YMR	HIGHER_IS_BETTER	Plant-06	%	94.69%	94.00%
Jul-25	Actual OEE	HIGHER_IS_BETTER	Plant-05	%	79.90%	83.00%
Jul-25	Actual OEE	HIGHER_IS_BETTER	Plant-06	%	75.10%	74.00%
Jul-25	EHS	LOWER_IS_BETTER	Plant-05	Num	0	0
Jul-25	EHS	LOWER_IS_BETTER	Plant-06	Num	0	0
Jul-25	FGS	HIGHER_IS_BETTER	Plant-05	Num	35028	37000
Jul-25	FGS	HIGHER_IS_BETTER	Plant-06	Num	17536	17500
Jul-25	WIP	LOWER_IS_BETTER	Plant-05	Num	3.41	3.50
Jul-25	WIP	LOWER_IS_BETTER	Plant-06	Num	1.11	2.00
Aug-25	Customer Complaints	LOWER_IS_BETTER	Plant-05	Num	0	0
Aug-25	Customer Complaints	LOWER_IS_BETTER	Plant-06	Num	0	0
Aug-25	MMR	LOWER_IS_BETTER	Plant-05	Num	1.57	1.33
Aug-25	MMR	LOWER_IS_BETTER	Plant-06	Num	1.20	1.19
