Month	MCATEG_DESC	Plant-05	Plant-06
Jul-25	MACHINE BREAKDOWN	6.92%	7.79%
Jul-25	ORDERS NOT AVAILABLE	0.25%	
Jul-25	PRODUCTION ORDER NOT AVAILABLE	0.69%	2.42%
Jul-25	YARN UNAVAILABILITY/SHORTAGE	1.53%	2.09%
Jul-25	PACKAGING UNAVAILABILITY		0.07%
Jul-25	CYLINDER CHANGES / CONVERSIONS	0.02%	
Jul-25	EXTERNAL FACTOR		0.31%
Jul-25	HOLIDAY	7.18%	6.94%
Jul-25	MACHINES ON SAMPLING	0.01%	0.28%
Jul-25	OTHERS	0.29%	1.40%
Jul-25	POWER SHORTAGE	0.05%	0.01%
Jul-25	PRODUCT DESIGN ISSUES	0.12%	
Jul-25	MACHINES SETUP		0.03%
Jul-25	PLANT FAILURE		0.48%
Aug-25	MACHINE BREAKDOWN	8.24%	11.88%
Aug-25	ORDERS NOT AVAILABLE	4.15%	3.26%
Aug-25	PRODUCTION ORDER NOT AVAILABLE		1.01%
Aug-25	YARN UNAVAILABILITY/SHORTAGE	1.27%	1.37%
Aug-25	CYLINDER CHANGES / CONVERSIONS	0.03%	
Aug-25	HOLIDAY	0.64%	0.61%
Aug-25	MACHINES ON SAMPLING	0.02%	0.00%
Aug-25	OTHERS	0.35%	0.97%
Aug-25	POWER SHORTAGE	0.29%	0.33%
Aug-25	TRIAL RUN		0.00%
Aug-25	CAPACITY CONSTRAINT DOWNSTREAM		0.00%
Aug-25	MACHINES SETUP		0.05%
Aug-25	PLANT FAILURE		0.61%
Sep-25	MACHINE BREAKDOWN	8.96%	3.94%
Sep-25	ORDERS NOT AVAILABLE	7.04%	61.04%
Sep-25	PRODUCTION ORDER NOT AVAILABLE	0.11%	
Sep-25	YARN UNAVAILABILITY/SHORTAGE	1.62%	0.16%
Sep-25	CYLINDER CHANGES / CONVERSIONS	0.00%	
Sep-25	HOLIDAY	0.42%	0.10%
Sep-25	MACHINES ON SAMPLING	0.00%	
Sep-25	OTHERS	0.38%	0.16%
Sep-25	POWER SHORTAGE	0.05%	0.04%
Sep-25	PRODUCT DESIGN ISSUES	0.14%	
Sep-25	PRODUCT QUALITY	0.06%	
Sep-25	PLANT FAILURE		0.15%
Oct-25	MACHINE BREAKDOWN	11.72%	6.88%
Oct-25	ORDERS NOT AVAILABLE		17.66%
Oct-25	PRODUCTION ORDER NOT AVAILABLE		0.31%
Oct-25	YARN UNAVAILABILITY/SHORTAGE	0.72%	1.72%
Oct-25	PACKAGING UNAVAILABILITY	0.22%	
Oct-25	CYLINDER CHANGES / CONVERSIONS	0.04%	
Oct-25	HOLIDAY	0.68%	0.41%
