Plant	Month	Attribute	Value
Plant-05	Jul-25	Shortfall	4.61%
Plant-05	Jul-25	C Grade	2.37%
Plant-05	Jul-25	Yarn Waste	0.09%
Plant-05	Jul-25	UC Small Lots	0.43%
Plant-05	Jul-25	Gain/Loss %	0.16%
Plant-05	Jul-25	Knitting Yield	92.77%
Plant-05	Jul-25	% Waste	7.23%
Plant-06	Jul-25	Shortfall	3.12%
Plant-06	Jul-25	C Grade	2.29%
Plant-06	Jul-25	Yarn Waste	0.31%
Plant-06	Jul-25	UC Small Lots	0.64%
Plant-06	Jul-25	Gain/Loss %	-0.41%
Plant-06	Jul-25	Knitting Yield	94.69%
Plant-06	Jul-25	% Waste	5.31%
Plant-05	Aug-25	Shortfall	3.78%
Plant-05	Aug-25	C Grade	2.41%
Plant-05	Aug-25	Yarn Waste	0.15%
Plant-05	Aug-25	UC Small Lots	0.34%
Plant-05	Aug-25	Gain/Loss %	0.19%
Plant-05	Aug-25	Knitting Yield	93.47%
Plant-05	Aug-25	% Waste	6.53%
Plant-06	Aug-25	Shortfall	4.39%
Plant-06	Aug-25	C Grade	2.82%
Plant-06	Aug-25	Yarn Waste	0.47%
Plant-06	Aug-25	UC Small Lots	0.04%
Plant-06	Aug-25	Gain/Loss %	-1.41%
Plant-06	Aug-25	Knitting Yield	93.74%
Plant-06	Aug-25	% Waste	6.26%
Plant-05	Sept-25	Shortfall	4.34%
Plant-05	Sept-25	C Grade	2.30%
Plant-05	Sept-25	Yarn Waste	0.32%
Plant-05	Sept-25	UC Small Lots	0.59%
Plant-05	Sept-25	Gain/Loss %	-1.11%
Plant-05	Sept-25	Knitting Yield	94.16%
Plant-05	Sept-25	% Waste	5.84%
Plant-06	Sept-25	Shortfall	3.19%
Plant-06	Sept-25	C Grade	2.09%
Plant-06	Sept-25	Yarn Waste	0.43%
Plant-06	Sept-25	UC Small Lots	2.21%
Plant-06	Sept-25	Gain/Loss %	-3.24%
Plant-06	Sept-25	Knitting Yield	97.53%
Plant-06	Sept-25	% Waste	2.47%
Plant-05	Oct-25	Shortfall	4.14%
Plant-05	Oct-25	C Grade	2.79%
Plant-05	Oct-25	Yarn Waste	0.09%
Plant-05	Oct-25	UC Small Lots	0.80%
Plant-05	Oct-25	Gain/Loss %	-1.78%
Plant-05	Oct-25	Knitting Yield	94.76%
Plant-05	Oct-25	% Waste	5.24%
Plant-06	Oct-25	Shortfall	1.50%
Plant-06	Oct-25	C Grade	1.99%
Plant-06	Oct-25	Yarn Waste	0.14%
Plant-06	Oct-25	UC Small Lots	0.02%
Plant-06	Oct-25	Gain/Loss %	-0.42%
Plant-06	Oct-25	Knitting Yield	96.78%
Plant-06	Oct-25	% Waste	3.22%
Plant-05	Nov-25	Shortfall	4.72%
Plant-05	Nov-25	C Grade	2.81%
Plant-05	Nov-25	Yarn Waste	0.18%
Plant-05	Nov-25	UC Small Lots	2.67%
Plant-05	Nov-25	Gain/Loss %	-2.41%
Plant-05	Nov-25	Knitting Yield	94.70%
Plant-05	Nov-25	% Waste	5.30%
Plant-06	Nov-25	Shortfall	3.54%
Plant-06	Nov-25	C Grade	2.92%
Plant-06	Nov-25	Yarn Waste	0.12%
Plant-06	Nov-25	UC Small Lots	0.27%
Plant-06	Nov-25	Gain/Loss %	-1.50%
Plant-06	Nov-25	Knitting Yield	94.92%
Plant-06	Nov-25	% Waste	5.08%
Plant-05	Dec-25	Shortfall	4.65%
Plant-05	Dec-25	C Grade	3.10%
Plant-05	Dec-25	Yarn Waste	0.36%
Plant-05	Dec-25	UC Small Lots	1.11%
Plant-05	Dec-25	Gain/Loss %	-0.60%
Plant-05	Dec-25	Knitting Yield	92.49%
Plant-05	Dec-25	% Waste	7.51%
